id,keyword,location,text,target,text_length
140,airplane%20accident,Florida,iran shoot commercial airplane claim accident anyone really believe,1,67
141,airplane%20accident,Calgary AB,may unaware cnd currently mourning canadian downed airplane accident iran flag,1,78
142,airplane%20accident,"Saskatchewan, Canada",sorry loss iran never shot airplane sky accident say,0,52
143,airplane%20accident,"Toronto, Ontario",wasnt iranian knew takeoff happening amp knew airplane manufacturer american,0,76
144,airplane%20accident,NYC,mass antigovernment protest erupt iran leader admit shooting airliner still cannot believe w,0,92
145,airplane%20accident,New England,read whole thread he blaming trump iran shooting ai,0,51
146,airplane%20accident,Ontario,airplane accident answer u designated iranian government terrorist ha,0,69
147,airplane%20accident,State of Louisiana-great food,hey got swamp land sale either naive plain stupid iran downing,0,62
148,airplane%20accident,"Sachse, Texas",perhaps prodded others zelensky decides ukraine nothing lose piling onto iran never seen many op,0,96
149,airplane%20accident,,canadian concerned airplane shot accident canadian many iranian,0,63
150,airplane%20accident,Waldo,shooting airplane accident bullshit like accidental shooting firearm especially since,0,85
151,airplane%20accident,United States,odd iranian accidentally blew airplane take someone playing,0,59
152,airplane%20accident,,canadian concerned airplane shot accident canadian many,0,55
153,airplane%20accident,United Kingdom,excuse shooting commercial airplane innocent civilian oh sorry jeremy say,0,73
154,airplane%20accident,"Milwaukee, WI",beat response track airplane surface air missile,0,48
155,airplane%20accident,"French River, Ontario, Canada",unimaginable people gone one accident could anyone point surface air missile,0,76
156,airplane%20accident,"Siesta Key, FL",accident iran rocketed airplane killing people libs defending like thats ok b,0,77
158,airplane%20accident,"New Jersey, USA",well let see know far body count demonstrator,0,45
159,airplane%20accident,"Michigan, USA",beat response track airplane surface air missi,0,46
160,airplane%20accident,"Canada, eh",good lord yeah accident airplane didnt give missile right away,0,62
161,airplane%20accident,,iranian leadership downed commercial airplane purpose kidding saying accident,0,77
162,airplane%20accident,#السعودية_العظمى,ooh look nyt became lawyer iranian regime stupid newspaper time vi,0,66
163,airplane%20accident,Iowa,exactly one accidentally fire rocket airplane leaving country airport,0,69
164,airplane%20accident,"Vaughan, Ontario",saying shooting airplane w innocent ppl accident bruh,1,53
165,airplane%20accident,"Moodus, CT  USA",nuclear physicist airplane accident,1,35
166,airplane%20accident,"40.72163,-73.8669",murderous friend shoot airplane accident killing around innocent people wa,1,74
167,airplane%20accident,"East Verdi, NV",yup u shot iranian airplane accident weve supp,1,46
168,airplane%20accident,,united state down iranian terrorist world press dedicates ton article life lived ira,0,84
169,airplane%20accident,"Port Charlotte, FL",besides airplane shot accident thing habbening also highlevel proiran militi,0,76
170,airplane%20accident,"Hamilton, Ontario",cbc news said operator missile launcher shot airplane cockpit taken,1,67
171,airplane%20accident,,consider gt person video camera know record attack indication,0,61
172,airplane%20accident,The Enchanted Mitten,besides airplane shot accident thing habbening also highlevel proir,0,67
173,airplane%20accident,NYC Babe-Bee 🌹🐾🙏,yeah yer well prepared hit building amp knocked yer airplane accident better keep,0,81
174,airplane%20accident,"Lake Mary, FL",shooting plane accident human error iranian shooting mi,0,55
175,airplane%20accident,,attack n airplane taken accident iran want world know co,0,56
176,airplane%20accident,,grover airplane accident doctor,0,31
177,airplane%20accident,Islamic Republic of Iran,trump accident crash airplane ukraine main factor powerful person world whose count,0,83
178,airplane%20accident,Islamic Republic of Iran,trump accident crash airplane ukraine main factor powerful person world whose,0,77
179,airplane%20accident,"Franca, Brasil",although late extend condolence family victim ukrainian airplane falling inclu,1,78
180,airplane%20accident,Cairo,iranian military admitted shot ukrainian airplane missile accidentally accident crim,1,84
181,airplane%20accident,,much talk ukraine airplane within iran usa conflict conflict wise irrelevant mo,0,79
182,airplane%20accident,Qom,although late extend condolence family victim ukrainian airplane falling,1,72
183,airplane%20accident,"Houston, TX",iran shot airplane full innocent people say want trump thats appropriate r,1,74
184,airplane%20accident,"The Hague, Netherlands ",still silent killing innocent people iran iranian military admitted shot ukrainian,1,82
185,airplane%20accident,,iranian chose day time send missile inside iraq also controlled,0,63
186,airplane%20accident,,airplane routine flight path airport one would think shot would fam,0,67
187,airplane%20accident,,germany foreign minister heiko maas say must assumed airplane crash iran terrible accident,1,90
188,airplane%20accident,,compassion family ukrainian airplane shot accident,1,50
190,ambulance,Republic of Ireland.,fire engulfs ambulance conveying corpse catholic priest mother streetjournal,1,76
191,ambulance,"England, UK",racist concerned correct resident birmingham cant speak english birmingham england,0,82
192,ambulance,,waarland ambulance p rit sabinahof waarland,0,43
193,ambulance,"Rock Hill, SC",usdjpy despite richter scale overbought fxstreet line swissquote bullish long jason sen mr ambulance chaser b,0,109
194,ambulance,"Rock Hill, SC",usdjpy despite richter scale overbought fxstreet line swissquote bullish long jason sen mr ambulance cha,0,104
195,ambulance,Hyeongjun world,untamed boy singing love siren ambulance theuntamedboysinbkk,0,60
196,ambulance,"Theale, England",pulling ambulance,0,17
197,ambulance,London innit,hope there going ambulance waiting bottom there way fat lump cli,0,64
198,ambulance,,ambulance cover coming theuntamedboys ambassador thai spring festival delightful,0,80
199,ambulance,Sicily (❤️) Mielno 🇵🇱,driving drunk choose way come back home taxi b,0,46
200,ambulance,"Melbourne, Victoria",yer severe ambulance ramping fundingresourcing,0,46
201,ambulance,,zulaykhas son ambulance driver killed suicide attack maimana faryab everyday visit ambu,0,87
202,ambulance,mybag,first taken damn hospital man died walmart ambulance outside focuse,1,67
203,ambulance,Everywhere,jinu okay hit head fainted remember anything yoon ambulance ride hospi,0,70
204,ambulance,Wales,come weve recently fuel stolen ambulance vehicle damage staff car whilst ambulanc,1,81
205,ambulance,,theyve gone ambulance chasing australia,0,39
206,ambulance,,drumroll beach girl henry tried keep pressure wound call,0,56
207,ambulance,United Kingdom,racism absolutely delighted,0,27
208,ambulance,"Everywhere, I am a free spirit",norovirus like detox get crap system much like flushing central h,0,65
209,ambulance,Malawi,ooh guy know gauteng people go study nursing ambulance nurse keep alive transit,0,79
210,ambulance,,iranprotests tehran right valiasr intersection special force heading paradise ambulance,0,87
211,ambulance,💰HELPING YOU GAIN MUTUAL💰,one silently pray unknown ambulance passed,0,42
212,ambulance,"Knoxville, TN",long night mom sugar dropped dad called ambulance fun hospital late shift,1,73
213,ambulance,London,norovirus there place like home winter bug unpleasant usual go away coupl,0,73
214,ambulance,,dont understand jongkook danced like breathing heavily end sequence lyi,0,71
215,ambulance,Egypt's Prime Minister,unilorin oxygen whole university ilorin oxygen refer u uith thinking maybe,0,74
216,ambulance,in my poes,ambulance nurse,0,15
217,ambulance,Malawi,angel africa netcare air ambulance doctor paramedic activated interhospitaltrans,1,80
218,ambulance,"Namibia,rundu,ondangwa,katima,",ambulance need call u today tollfree number,0,43
219,ambulance,London,lovely message receive thank much,0,33
220,ambulance,,timely action accident save someone life find someone injury call ambulance,1,75
221,ambulance,Ghana,technical brain speak raging debate mostly disposition amp knowledge calm storm even,0,84
222,ambulance,Malibu,got back hospital bc accidentally blended finger cooking promised ambulance doctor w,0,84
223,ambulance,United Kingdom,another race baiting ambulance chaser exposed racism action peop,0,64
224,ambulance,,ooh guy know gauteng people go study nursing ambulance nurse keep alive,0,71
225,annihilated,,nicki minaj single handedly annihilated male specie day dropped,0,63
226,annihilated,,must annihilated,0,16
227,annihilated,"Wales, United Kingdom",basically let people work hard money save invest wisely snatch fu,0,65
228,annihilated,,thanks offence taken really choice centre left party either,0,59
229,annihilated,New york in jesus name,commonest line naija song become annoying way whyne e dey blow mind please,0,74
230,annihilated,,quranic verse leader choose qasem soleimani unique moment soldier islam tirelessly foug,0,87
231,annihilated,California,shes wrong way aca passed,0,25
232,annihilated,Earth,get ready picking weapon choice chose lute course thinking everything,0,69
233,annihilated,"Scotland, United Kingdom",actually impossible tell whether dan boris less across brief journalist almost journalist,0,89
234,annihilated,"West Midlands, England",zero chance candidate winning next election deluded hard left,0,61
235,annihilated,Melbourne & Regional Victoria,good riddance bad rubbish like well saying youre annihilated fedelection,0,72
236,annihilated,"Fishlake, England",havent like understood yet sht policy plus touch,0,48
237,annihilated,EVERYWHERE,breast perished name bottle poison make want cry make want,0,58
238,annihilated,,yall beautiful delicate tender vampire taejin annihilated tonight,0,65
239,annihilated,"Melbourne, Victoria",reminiscing time annihilated pb made look easy kg feeling fiine bring gpc,0,73
240,annihilated,"Osun, Nigeria",titan raise trident drink victory annihilated enemy yesterday sent hades,1,72
241,annihilated,EVERYWHERE,promise perished name almond make want cry make want curse de,0,61
242,annihilated,Joburg,sne really tryna see get annihilated dm psn bro,0,47
244,annihilated,Ireland,appreciate bbc igbo start expose britain partook biafra genocide millio,1,71
245,annihilated,UK,poll mean shit hugh wrong massively effectively vote leave,0,58
246,annihilated,"Ottawa, Ontario, Canada",pier morgan annihilated simple logic,0,36
247,annihilated,"Ottawa, Ontario, Canada",pier morgan annihilated simple logic vegan advocacy good morning britain,0,72
248,annihilated,"Ottawa, Ontario, Canada",pier morgan annihilated simple logic vegan advocacy,0,51
249,annihilated,EVERYWHERE,apple perished name adderall pill make want cry make want cur,0,61
250,annihilated,,win federal judge lifted tro build floodplain change game judge absolutely,0,74
251,annihilated,宮城 ⇄ 都下  / 🌻,oppenheimer annihilated done referenced mistress death dislike thanos,0,69
252,annihilated,"Москва, Россия",lost big team event point pretty nice list like annihilated inside,0,66
253,annihilated,Indio,theyd get annihilated miami,1,27
254,annihilated,,ally u mean annihilated minute look kurd,1,40
255,annihilated,"Toronto, Ontario",pore nose getting annihilated finger,0,36
256,annihilated,"London, England",moment doc ockin spideys body realizes spidey holding back fight time pete,0,74
257,annihilated,,best way describe current emotional state toddler wave pool fine part get annihilated w,0,87
259,annihilated,"Sacramento, CA",answer soooooo happy renew season ticket would lost mind di,0,59
260,annihilated,where the angels live,machine changed music pretty much annihilated concept live band playing real instrument however machine n,0,105
261,annihilated,,lsu would annihilated ohio state university couldnt even dominate wisconsin,0,75
262,annihilated,"Fort Worth, TX",mention florida state team well annihilated everybody played except auburn,0,74
263,annihilated,"Los Angeles, CA",machine changed music pretty much annihilated concept live band playing real instrument however machi,0,101
264,annihilated,"Virginia Beach, VA",im getting absolutely annihilated im hooked tarkov,0,50
265,annihilated,Home,disney amp psychreylos wonder upset w star war,0,46
266,annihilated,T̷̀͜h̴̲͌ë̷̻́ ̸͎͝V̴̧͠o̷̠̚i̵̭͌d̴,thot status annihilated,0,23
267,annihilated,香港,president trump great president annihilated terrorist risk inti,1,63
268,annihilated,Maga country,think wouldve learned clinton getting annihilated,0,49
269,annihilated,,antichrist singlehandedly annihilated american movie industry,0,61
270,annihilated,Australia,auspol onto theliarfromtheshire manipulation election,0,53
271,annihilated,,devastating thorough refutation ned flanders stream annihilated orthodox straw men,0,82
272,annihilated,USA,devastating thorough refutation ned flanders stream annihilated orthodox,0,72
273,annihilated,Otherworld,maybe current thinking itll related upcoming title story arc xfactor tonally feel,0,81
274,annihilated,"West Palm Beach, FL",annihilated yo graduate broad made call gaud snatched soul didnt bust,0,69
276,annihilated,"Miami, FL",guy annihilated best defense college football lose two game sick,0,64
277,annihilated,"Lagos, Nigeria",broke destroyed annihilated shattered ankle abou never,0,54
278,annihilated,,clown photo leftfar leftjoked predator drone strike fake news corespondent dinner c,0,83
279,annihilated,"Minnesota, USA",lsu best team country start finish season annihilated oklahoma semifinal,0,72
280,annihilated,"Nashville, TN",valid total body work matter lsu proved worthy seed,0,51
281,annihilated,,else perished remained still continue else remained annihilated,0,63
282,annihilated,"Sacramento, CA",bernie sander coddled politician today get annihilated win nomination,0,69
283,annihilation,,iran government dominating headline crushing cruel islamic regime purveyor proxy war state sponsored ter,0,104
284,annihilation,"Delhi, India",lot talk violence carried name hindu cow vigilante lynching extremely,0,69
285,annihilation,日本,x u navy eb airborne probably nothing imminent global annihilation,0,66
286,annihilation,,deflecting issue discouraging statisticsof bengali hindu f,0,58
287,annihilation,space,want u like annihilation,0,24
288,annihilation,Occupied Multnomah Chinook PDX,loved hated uncutgems like several movie recently evoked clockwork orange grotesque compelling,0,94
289,annihilation,,surajmal bhau somehow forged alliance would hv resulted annihilation ummah,1,74
290,annihilation,"Lagos, Nigeria",annihilation,0,12
291,annihilation,Where the doggos are,au vic bushfire appeal doggos animal farm tomb annihilation,0,59
293,annihilation,"Durban, South Africa",anyone know official site oppose total annihilation south africa new health system reform,1,89
294,annihilation,"Almería, Spain",two alien race go war earth caught middle,0,41
295,annihilation,Glasgow,strangest part palpable disappointment longer rely public fund year austerity,0,77
296,annihilation,"Henderson, NV",like iraniraq war root mutual annihilation,1,42
297,annihilation,,need political autonomy nothing less prevent demographic annihilation,1,69
298,annihilation,Tamriel,terrible high elf shortsword annihilation,0,41
299,annihilation,,simple arab rejected hand un partition plan instead waged war,1,61
300,annihilation,"Los Angeles, CA",russia blame trump iran strike impeachment trump annihilation iranian general present decen,1,91
301,annihilation,The Phantom Zone,complete nuclear annihilation except pop back happening,1,55
302,annihilation,The Magnus Institute,know movie oscar year annihilation,0,34
304,annihilation,"Brooklyn, NY",biggest f chat film twitter fake cat trailer w annihilation score dubbed,0,72
305,annihilation,BC Canada,nexus araphym darkening part horrorparanormal ebook novelette e h james thing standing,0,86
306,annihilation,"Acapulco de Juárez, Guerrero",dying salvation dedication capitulation annihilation papal commendation reincarnation heaven,0,92
307,annihilation,,watch thing scam wick really start party annihilation,0,53
308,annihilation,,nexus araphym darkening part horrorparanormal ebook novelette e h james thing,0,77
309,annihilation,,data assimilation agentbased model using creation annihilation operator,0,71
310,annihilation,"Bengaluru, India",happy see people regaining conscience afterall soul cant stand watch,0,68
311,annihilation,From The US  Resides in the UK,new annihilation ft tragedy khadafi p sway amp grand surgeon djkool real king trap vol h,0,88
312,annihilation,,annihilation one favs,0,21
313,annihilation,"Lakewood, CO",starting annihilation rn first time somehow,0,43
314,annihilation,,need survive practice faith think hindugenocide,1,47
315,annihilation,,also need survive practice faith think hindugen,1,47
316,annihilation,"Baltimore, MD",speaking atrocity annihilation christian across middle east committed muslim daily sat,1,86
317,annihilation,India,yeah surprised heard first another gem electronic score,0,55
318,annihilation,"Mumbai, India",dont understand systemic oppression cost oppressed total complete anni,0,70
319,annihilation,Island,dont get bias flipping short annihilation incoming,0,50
320,annihilation,"Tempe, AZ",annihilation hulu,0,17
321,annihilation,,cannot yet see danger lurking hastening annihilation n,0,54
322,apocalypse,,weekend drove burned landscape big bag sweet potato roos severit,0,64
323,apocalypse,Madrid,amount scifi medium couldve prepared aspect climate apocalypse,1,62
324,apocalypse,Sacro Imperio de Cuenca,four horseman apocalypse,0,24
325,apocalypse,"West Palm Beach, FL",two day thats long two day done stage bravo free ki,0,51
326,apocalypse,🌙,never understand smell girl perfume last sec meanwhile boy go apocalypse st,0,75
327,apocalypse,"Ohio, USA",apocalypse happens want army follower team everyone heelys there hundred,0,72
329,apocalypse,"Thüringen, Deutschland",eskenfilme kauft einen ford falcon und viel sprit die apocalypse kommt ohne tempolimit,0,86
330,apocalypse,,euroleague bet unit,0,19
331,apocalypse,,apocalypse coming,1,17
332,apocalypse,"Cambridge, England",like review apocalypsecow fair monbiots view,0,44
333,apocalypse,United States,ancient viking runestones warning ragnarok apocalypse predicts extreme climate change,1,85
334,apocalypse,,also made think life basically like calm foreground inferno horizon people w,0,76
335,apocalypse,at home,really nice night outside moment expect four rider apocalypse arrive,0,68
336,apocalypse,"Lat Krabang, Bangkok",apocalypse,0,10
337,apocalypse,,,0,0
338,apocalypse,Sword Fight On The Heights,yea let honest kid value pretty much game see roblox theyll play whatever f,0,75
339,apocalypse,Liverpool Birmingham Newcastle,veganuary tried one v burger today pick falafel burger lettuce pickled sla,0,74
340,apocalypse,,francis ford coppola dennis hopper set apocalypse,0,49
341,apocalypse,Melbourne,lately ive thinking miriam rose ungunmerr baumann gerard manley hopkins tell,0,76
342,apocalypse,Ireland,common sense twitter first sign apocalypse look great,1,53
343,apocalypse,France,image bibliques apocalypse lechrist leseigneur autorit jsuschrist dieu lardemption,0,82
344,apocalypse,"Margate, England",jam setting son carter usm something jimmy page outrider nirvana nevermind gun n rose appetite,0,94
345,apocalypse,"Liège, Belgium",pandmieapocalypse soupir,0,24
346,apocalypse,w domu u keanu,chodzi ci apocalypse,0,20
347,apocalypse,"England, Britain, Albaria",prophesied jesus savior prophesies say sign time apocalypse like th,0,67
348,apocalypse,"Brisbane, Australia",apocalypse chic,0,15
349,apocalypse,"Cambridge, England",join chum month improvised apocalypse movie would like see world e,0,66
350,apocalypse,The Heart of America,important notice global warming apocalypse scheduled postponed meme politics,1,76
351,apocalypse,Hell,texsch literally caused apocalypse thats invalid,0,48
352,apocalypse,,marcelito pomoy nakaka proud,0,28
353,apocalypse,,inbefore xenobota cause apocalypse,0,34
354,apocalypse,Illinois,going place zombie apocalypse happens,1,37
355,apocalypse,"Antwerpen, België",damn finally dreamt real apocalypse wasnt short dream half dream came rea,0,73
356,apocalypse,,thrilling amusing read british fantasy society game changer apocalypse author mark kirkb,0,88
357,apocalypse,Themyscira,survived london rush hour tube ride basically like surviving zombie apocalypse,1,78
358,apocalypse,,gta zombie apocalypse mod survival gta mod,0,42
359,apocalypse,,gta zombie apocalypse mod beginning end gta mod,0,47
360,apocalypse,,wear zombie apocalypse zombie survival guide,0,44
361,apocalypse,"vld, mdzs, bnha, hq!!",day postapocalyptic lance really want share everything best buddy apocalypse mean hard time,1,91
