keyword,location,text,target,text_length,word_count,char_count,avg_word_length,punctuation_count,uppercase_word_count,hashtag_count,url_count
demolished,"Punjab, Pakistan",abu amrah family gaza strip homeless two month house demolished israeli air stri,1,80,13,80,6.153846153846154,0,0,0,0
threat,Unknown,trump really matter soleimani posed imminent threat,1,51,7,51,7.285714285714286,0,0,0,0
pandemonium,Unknown,pandemonium nola tonight bar gone lsu goat,1,42,7,42,6.0,0,0,0,0
evacuate,Unknown,thousand resident talisay town batangas forced evacuate taal volcano eru,1,72,10,72,7.2,0,0,0,0
suicide%20bomb,Unknown,widow cia agent killed afghanistan suicide bomb attack break silence year,1,73,11,73,6.636363636363637,0,0,0,0
lightning,pisces,taal volcano eruption lightning streak,1,38,5,38,7.6,0,0,0,0
storm,United Kingdom,preparing storm brendan forecast high wind across south east east england check,1,79,12,79,6.583333333333333,0,0,0,0
windstorm,"Penzance, Cornwall ",windstorm level tuesday associated smallscale developing low pressure feature cross,1,83,10,83,8.3,0,0,0,0
destroyed,"Dublin City, Ireland",ago phoenix park main amphibian breeding site dredged amp completely destroyed permission,1,89,12,89,7.416666666666667,0,0,0,0
accident,"Colorado, Brighton",prince harry confirmed mother princess diana death accident,1,59,8,59,7.375,0,0,0,0
evacuate,"Charlottesville, VA",philippine authority warning large dangerous eruption taal volcano may imminent,1,79,10,79,7.9,0,0,0,0
avalanche,"Peshawar, Pakistan",apparently avalanche hit neelumvalley azad kashmir leading multiple casualty mainstream medium yet,1,98,12,98,8.166666666666666,0,0,0,0
quarantined,Unknown,chinese woman new coronavirus quarantined thailand,1,50,6,50,8.333333333333334,0,0,0,0
collapsed,Occupied Duwamish Territory,banten province building collapsed overflowing river rising river submerged least neighbourhood,1,95,11,95,8.636363636363637,0,0,0,0
derailment,Unknown,freight train due hitchin morning dera,1,38,6,38,6.333333333333333,0,0,0,0
bush%20fires,"wakatipu, aotearoa | she/her ",australian bush fire continue devastating like many others feel responsibility,1,78,10,78,7.8,0,0,0,0
ablaze,Okielahoma,originally intended fired boarder opposing ship crew gunner shipss riggi,1,72,10,72,7.2,0,0,0,0
bombed,Unknown,wait iran get bombed ground god bless trump,1,43,8,43,5.375,0,0,0,0
emergency,"Leimert Park, Los Angeles, CA",sent emergency alert requesting support receiving word sheriff way evict,1,72,10,72,7.2,0,0,0,0
rescued,Unknown,two young girl aged old kidnapped min ago rani kothi lane gautam,1,64,12,64,5.333333333333333,0,0,0,0
demolished,Unknown,family gaza homeless month house demolished israeli air strike family mem,1,73,11,73,6.636363636363637,0,0,0,0
fatalities,"South East, England",road danger sinkhole result fatality,1,36,5,36,7.2,0,0,0,0
rescued,"Bengaluru, India",bhimsen mother womb rescued mother rescued mother within day gave birth,1,71,11,71,6.454545454545454,0,0,0,0
army,India,today pak army soldier thanking indian armyif indian army carry deadly strike neelum valle,1,90,14,90,6.428571428571429,0,0,0,0
rioting,Unknown,assassination iranian general killing innocent passenger aboard,1,63,7,63,9.0,0,0,0,0
flooding,Ballycastle,storm surge storm brendan flooding harbour rathlin island county antrim coast footage dougl,1,91,13,91,7.0,0,0,0,0
smoke,Unknown,morning around police stopped search looking taaba meanwhile arm guarding,1,73,10,73,7.3,0,0,0,0
sinkhole,Unknown,people found dead sinkhole swallow public bus xining,1,52,8,52,6.5,0,0,0,0
damage,Oakham,correction report criminal damage heading towards melton towards oakham,1,71,9,71,7.888888888888889,0,0,0,0
emergency,"Newport News, VA",black milwaukee woman long emergency room wait blavity news,1,59,9,59,6.555555555555555,0,0,0,0
aftershock,Unknown,puerto ricans refusing home aside aftershock ground southwest puerto rico,1,73,10,73,7.3,0,0,0,0
body%20bag,Dublin,body part found bag moatview coolock north dublin,1,49,8,49,6.125,0,0,0,0
injury,"Los Angeles, Ca",olive friendly tentative maybe leg injury pain people seem know noth,1,68,11,68,6.181818181818182,0,0,0,0
terrorist,"Baghdad, Iraq",rtstatedept secpompeo sanction continue regime stop terrorist activity commits,1,78,9,78,8.666666666666666,0,0,0,0
rubble,Oceanside as much as possible,would done hit think car lost hope,1,34,7,34,4.857142857142857,0,0,0,0
heat%20wave,"Illinois, USA",january heat wave engulfed eastern half country magnitude warmth yet another remind,1,83,12,83,6.916666666666667,0,0,0,0
hazardous,Unknown,hazardous air level due bushfires australia make impossible continue match,1,74,10,74,7.4,0,0,0,0
sandstorm,"Walsall, UK",otd thierry sabine founder parisdakar rally helicopter crash taking part organi,1,79,11,79,7.181818181818182,0,0,0,0
derail,"hk island, govt held, not K&NT",month video protester smashing burning try derail train entire train smashed,1,76,11,76,6.909090909090909,0,0,0,0
inundation,"Chicago, IL",flash flood warning remain effect hawaii county amp maui county hawaii higher elevation big,1,91,14,91,6.5,0,0,0,0
whirlwind,Carlisle,whirlwind hour branthwaite potential transfer nobody boardcoaching staff knew anything,1,86,10,86,8.6,0,0,0,0
windstorm,"State College, PA",much break across southern another storm system race region tuesda,1,66,10,66,6.6,0,0,0,0
storm,Massachusetts USA,cold saturday night storm even though late saturday amp saturday night storm,1,76,12,76,6.333333333333333,0,0,0,0
drought,Sydney,combination drought fire devastating impact honey production abc bee,1,68,9,68,7.555555555555555,0,0,0,0
collided,Kenya,six people confirmed dead several others injured matatu travelling collided,1,75,10,75,7.5,0,0,0,0
dust%20storm,Pop Century Bus Stop,fair petty worried murdered plus dust storm,1,43,7,43,6.142857142857143,0,0,0,0
terrorist,Follow for Follow,terrorist fire upon american hero iphones lawfully seized federal court authorizes search data,1,94,13,94,7.230769230769231,0,0,0,0
avalanche,Unknown,defence source said three soldier killed another missing avalanche hit army post,1,80,12,80,6.666666666666667,0,0,0,0
body%20bag,Unknown,gardai seal scene body part found bag north dublin,1,50,9,50,5.555555555555555,0,0,0,0
hazardous,"Bristol, England",today melbourne air polluted world aqi reading hazardous level bad tha,1,70,11,70,6.363636363636363,0,0,0,0
buildings%20on%20fire,"New York, New York",nearly hour fire began crew still scene hosing building keep neighbor har,1,73,12,73,6.083333333333333,0,0,0,0
wreckage,Alberta,deceased trucker found wreckage went unnoticed hour,1,51,7,51,7.285714285714286,0,0,0,0
engulfed,"Nanaimo BC, Canada",january heat wave engulfed eastern half usa toppling record,1,59,9,59,6.555555555555555,0,0,0,0
quarantine,Malaysia,influenza outbreak well look quarantine situation persists,1,58,7,58,8.285714285714286,0,0,0,0
crash,Russia. In the dense forests.,breaking iranian judiciary spokesman say several arrested role ukraine plane crash report,1,89,12,89,7.416666666666667,0,0,0,0
smoke,"Melbourne, Victoria",curved treadmill squad today due smoke air quality melbourne currently effo,1,75,11,75,6.818181818181818,0,0,0,0
volcano,Unknown,rescue van available free transportation affected family area agoncillo talisay lemery tagaytay,1,95,12,95,7.916666666666667,0,0,0,0
panic,Unknown,remember panic attack best friend one helped via phone call mile away,1,69,12,69,5.75,0,0,0,0
hazardous,Cambridge,melbourne choked hazardous smoke bushfires continue burn across victoria,1,72,9,72,8.0,0,0,0,0
violent%20storm,staoueli alger algerie,status red marine gale warning gale force storm force southerly wind develop overnight monday mor,1,97,15,97,6.466666666666667,0,0,0,0
burned,"Paris, France",trial ghylaine bouchait underway nanterre outside paris burned death inside apartment,1,85,11,85,7.7272727272727275,0,0,0,0
volcano,"Manila, Philippines",philippine volcano alert level fyi narito ang alert level taal mayon bulusan volcano straight dostphivolcs,1,106,15,106,7.066666666666666,0,0,0,0
drowned,Unknown,immigration policy caused death migrant father baby daughter drowned,1,68,9,68,7.555555555555555,0,0,0,0
weapon,Unknown,better nuclear weapon,1,21,3,21,7.0,0,0,0,0
casualties,Unknown,fire break bharat petroleum plant mumbai casualty,1,49,7,49,7.0,0,0,0,0
explosion,"Dallas,Texas",update enormous sinkhole swallow bus pedestrian northwest china sparking explosion six killed four missing,1,106,14,106,7.571428571428571,0,0,0,0
injured,Ohio River Valley,iran protest killed injured arrested reaction resolutionsurgent session commission,1,82,9,82,9.11111111111111,0,0,0,0
emergency%20services,"nigeria, yeneg",emergency service called collision near maidstone read news,1,59,8,59,7.375,0,0,0,0
body%20bag,Dublin,someone murdered body part left bag coolock last night gov going acknowledge,1,76,12,76,6.333333333333333,0,0,0,0
electrocuted,Unknown,police electrocuted arrested giving legal aid anticaa protestors kota lawyer,1,76,10,76,7.6,0,0,0,0
blew%20up,Unknown,murdering scum ira blew innocent men woman amp child got scot free bliars,1,73,13,73,5.615384615384615,0,0,0,0
cliff%20fall,ParisNewYorkWashingtonMada,british tourist madalyn davis died fall popular tourist spot sydney eastern suburb news http,1,92,14,92,6.571428571428571,0,0,0,0
curfew,Unknown,kashmir still curfew internet dangerous law marginalise muslim created,1,70,9,70,7.777777777777778,0,0,0,0
hurricane,United States,hurricane recovery forest conservation nursery via agchat,1,57,7,57,8.142857142857142,0,0,0,0
meltdown,Unknown,child autism bullied school restrained school security meltdown,1,63,8,63,7.875,0,0,0,0
ablaze,Unknown,another arson njikomboyonwr ambazombies yesterday set ablaze council building country,1,85,10,85,8.5,0,0,0,0
windstorm,"Staten Island, NY, USA",dangerous windstorm ireland scotland yet another monster cyclone mbar develops,1,78,10,78,7.8,0,0,0,0
ambulance,Wales,come recently fuel stolen ambulance vehicle damage staff car whilst ambulanc,1,76,11,76,6.909090909090909,0,0,0,0
wreckage,"Sunshine Coast, Queensland",sunken yacht finally pulled mooloolah river almost year abandoned wrecka,1,72,10,72,7.2,0,0,0,0
wounded,"Texas, USA",twentyone saudi military cadet expelled one cadet carried mass shooting pensacol,1,80,11,80,7.2727272727272725,0,0,0,0
dead,Japan,two airman found dead base dormitory room spangdahlem air base thursday airman first,1,84,13,84,6.461538461538462,0,0,0,0
rescued,Unknown,update yearold lady trafficked lebanon rescued nigerian government,1,66,8,66,8.25,0,0,0,0
lightning,"Manila City, National Capital ",streak lightning blazed column ash amid taalvolcano eruption seen nasugbu batangas sunday,1,89,12,89,7.416666666666667,0,0,0,0
destroyed,"Las Vegas, NV",sad news today furious winter storm destroyed lion head lighthouse ontario brucepeninsula built,1,95,13,95,7.3076923076923075,0,0,0,0
snowstorm,Unknown,snowstorm slam kitsap county knocking power thousand,1,52,7,52,7.428571428571429,0,0,0,0
injuries,"Elmbridge, Surrey, UK",pedestrian left lifechanging injury following oxshott collision help,1,68,8,68,8.5,0,0,0,0
mass%20murder,United States,wait let forget anders brevik guy committed mass murder,1,55,9,55,6.111111111111111,0,0,0,0
structural%20failure,Unknown,seat ended structural failure test ride least motorcycle jacket coming,1,70,10,70,7.0,0,0,0,0
derailment,"Lowca, Cumbria (in spirit)",update freight derailment yard hitchin cut cable controlling set point track,1,76,11,76,6.909090909090909,0,0,0,0
collide,"Geneva, Switzerland",several injured train collide naples metro,1,42,6,42,7.0,0,0,0,0
traumatised,"Portsmouth, England",pompfession one time first year mate went walk beach whilst stoned,1,66,11,66,6.0,0,0,0,0
collision,Manchester,pilsworth heywood towards simisterisland lane closed due collision traff,1,72,9,72,8.0,0,0,0,0
buildings%20on%20fire,"Ohio, USA",firefight far fire started apartment complex construction,1,57,7,57,8.142857142857142,0,0,0,0
cliff%20fall,"Orange, California",british backpacker falling cliff sydney,1,39,5,39,7.8,0,0,0,0
wild%20fires,"Florida, USA",major fire australia local air force begun air drop vegetable wild animal animal,1,80,13,80,6.153846153846154,0,0,0,0
storm,"Rosehearty, Aberdeenshire",view farm boat bay sheltering storm brendan,1,43,7,43,6.142857142857143,0,0,0,0
body%20bags,Karachi /Pakistan,aftermath kargil war nda government ordered procurement body bag,1,64,9,64,7.111111111111111,0,0,0,0
hazardous,Unknown,tennis player quits coughing fit smoky qualifier outrageous,1,59,8,59,7.375,0,0,0,0
airplane%20accident,"California, USA",like iran shooting airplane accident,1,36,5,36,7.2,0,0,0,0
hostage,"Sedona, AZ",ctmagazine nigerian pastor kidnapped boko haram last week hostage video lawan andimi,1,84,12,84,7.0,0,0,0,0
attacked,UK,usasupportsterrorist terrorist attacked american september flying plane world,1,77,8,77,9.625,0,0,0,0
body%20bag,"Wexford, Ireland",human remains found bag dublin estate via,1,41,7,41,5.857142857142857,0,0,0,0
wounded,Peoples Republik of Kalifornia,pensacolashooting dead wounded saudi pilot alshamraninow declared terrorist act agbarr today expelle,1,100,12,100,8.333333333333334,0,0,0,0
emergency,"Palma de Mallorca, España",help rescue care innocent victim fire million animal dying australian wildf,1,75,11,75,6.818181818181818,0,0,0,0
first%20responders,"San Jose, CA",heartbreaking habitat devastation australia grateful firefighter first responder helping via oak,1,96,11,96,8.727272727272727,0,0,0,0
hostages,"Addis Ababa, Ethiopia",early december student fleeing violence campus kidnapped aboard,1,63,8,63,7.875,0,0,0,0
injured,"London, England",lovren shaqiri keita injured certain point replacement come,1,59,8,59,7.375,0,0,0,0
cyclone,Unknown,category severe tropical cyclone claudia sunrise satellite view cycloneclaudia,1,78,9,78,8.666666666666666,0,0,0,0
collision,東京,italy metro train collision naples driver shock people slightly injured,1,71,10,71,7.1,0,0,0,0
threat,香港,friend across pond huawei threat national security trying spy,1,61,9,61,6.777777777777778,0,0,0,0
volcano,Unknown,drone show philippine town cloaked ash taal volcano video,1,57,9,57,6.333333333333333,0,0,0,0
engulfed,In your heart ^^,sugarcane field engulfed flame nakhon sawan province sunday night local grower try avoid arrest,1,95,14,95,6.785714285714286,0,0,0,0
arson,"Belfast, Northern Ireland",firefighter let jail despite serious sex offense arrested starting fire australia,1,81,11,81,7.363636363636363,0,0,0,0
displaced,Global,january mark anniversary haitiearthquake claimed life left nearly million,1,73,9,73,8.11111111111111,0,0,0,0
dust%20storm,"Cardiff, Wales",giant dust storm sweep southwest queensland like someone put red cellophane sun,1,79,12,79,6.583333333333333,0,0,0,0
survived,New Zealand,comment nobody care dead driver care title anyway get well soon though,1,70,12,70,5.833333333333333,0,0,0,0
floods,"Kent, UK",venice canal almost dry two month severe flood googlealerts,1,59,9,59,6.555555555555555,0,0,0,0
war%20zone,Unknown,upgraded israeli iron dome defense system swat percent target test,1,66,10,66,6.6,0,0,0,0
derailment,Unknown,hitcam stuck royston please clear derailment,1,44,6,44,7.333333333333333,0,0,0,0
smoke,"Melbourne, Victoria",curved treadmill squad today due smoke air quality melbourne currently effo,1,75,11,75,6.818181818181818,0,0,0,0
desolate,In The Lab,first murder fake deal got man meet desolate area beat death took money,1,71,13,71,5.461538461538462,0,0,0,0
whirlwind,In the aburokyi,point late get ready whirlwind,1,30,5,30,6.0,0,0,0,0
heat%20wave,"Chandigarh, India",bihar district magistrate issue order close school heat wave instead cold wave,1,78,12,78,6.5,0,0,0,0
oil%20spill,"Lincoln, NE",keystone pipeline leak gallon oil second big spill two year,1,59,10,59,5.9,0,0,0,0
cyclone,Unknown,category severe tropical cyclone claudia sunrise satellite view cycloneclaudia,1,78,9,78,8.666666666666666,0,0,0,0
electrocuted,at-large in India,lawyer arrested duty providing legal aid clearly government respect lawconstitut,1,80,10,80,8.0,0,0,0,0
collided,Unknown,three people taken hospital two car collided surfer paradise news http,1,70,11,70,6.363636363636363,0,0,0,0
explosion,"Cocagne,NB",family whirlpool refrigerator explodes inside home,1,50,6,50,8.333333333333334,0,0,0,0
emergency%20services,United Kingdom,emergency service called collision near maidstone read,1,54,7,54,7.714285714285714,0,0,0,0
collide,"Johannesburg, South Africa",clocolan two killed bakkie car collide,1,38,6,38,6.333333333333333,0,0,0,0
body%20bag,Torrevieja,shortly local youth reported finding bag containing human limb outside house junction,1,85,12,85,7.083333333333333,0,0,0,0
hijacker,kolkata,hey channel common raj hacked hijacker deleted,1,46,7,46,6.571428571428571,0,0,0,0
wreckage,Unknown,iran plane crash wreckage spotted space satellite photo,1,55,8,55,6.875,0,0,0,0
terrorism,Unknown,jihadi attack nyc guess involved paki home terrorism,1,52,8,52,6.5,0,0,0,0
fatal,"England, United Kingdom",charged detective investigating murder leshawn williams newham dec charged second man wit,1,89,12,89,7.416666666666667,0,0,0,0
smoke,Hull,bushfire smoke plume destined reach australia circling globe nasa predicts,1,74,10,74,7.4,0,0,0,0
typhoon,old town road,lot people tacloban died typhoon yolanda know storm surge,1,57,9,57,6.333333333333333,0,0,0,0
thunder,Virginia,literally heard loudest thunder shook house woke whole family,1,61,9,61,6.777777777777778,0,0,0,0
explode,Unknown,philippine taal volcano erupted alert level meaning going explode within hou,1,76,11,76,6.909090909090909,0,0,0,0
earthquake,Pasig City,earthquake felt part calabarzon metro manila detail follow,1,58,8,58,7.25,0,0,0,0
outbreak,Unknown,mystery china pneumonia outbreak likely caused new human coronavirus,1,68,9,68,7.555555555555555,0,0,0,0
demolished,Unknown,myreport maradus holy faith alfa serene apartment demolished january stayed,1,75,10,75,7.5,0,0,0,0
hazardous,"Melbourne, Victoria",melbourne air quality drop hazardous level bushfire smoke lingers victoria via,1,78,11,78,7.090909090909091,0,0,0,0
army,"Sarni, India",avalanche hit army amp bsf post jawan rescued jawan still missing bad weather hamper rescue operation http,1,106,17,106,6.235294117647059,0,0,0,0
volcano,"Perth, Western Australia",dramatic video show bolt lightning volcano spews ash nine mile air philippine country,1,85,13,85,6.538461538461538,0,0,0,0
crashed,"Toronto, Ontario",wednesday jan jetliner operated ukrainian international airline crashed shortly taking iran,1,91,11,91,8.272727272727273,0,0,0,0
seismic,Unknown,strong seismic movement detected home much detected,1,51,7,51,7.285714285714286,0,0,0,0
body%20bags,Karachi /Pakistan,aftermath kargil war nda government ordered procurement body bag,1,64,9,64,7.111111111111111,0,0,0,0
earthquake,"Cairo, Egypt",earthquake sismo strike castro chile min ago info,1,49,8,49,6.125,0,0,0,0
tornado,"New Orleans, Louisiana",logan county family reunited dog home destroyed tornado via,1,59,9,59,6.555555555555555,0,0,0,0
mudslide,"Snohomish County, Washington",road closure reiter closed mile east may creek mudslide fully blocking road,1,75,12,75,6.25,0,0,0,0
deaths,The Netherlands,followup yesterday pakistan post past hour people died province,1,63,9,63,7.0,0,0,0,0
hostages,"Dublin City, Ireland",colourised footage british path film guerilla warfare ireland show treatment hostage,1,84,11,84,7.636363636363637,0,0,0,0
dead,🇧🇷🇮🇹🇲🇩🇺🇦🇦🇱🇭🇷,avalanche pakistan kill people,1,30,4,30,7.5,0,0,0,0
military,"Lagos, Nigeria",nigerien president sack army chief others terrorist attack military base,1,72,10,72,7.2,0,0,0,0
wounded,"Texas, USA",twentyone saudi military cadet expelled one cadet carried mass shooting pensacol,1,80,11,80,7.2727272727272725,0,0,0,0
violent%20storm,Atlanta,mile idea time hit around storm violent area,1,44,8,44,5.5,0,0,0,0
pandemonium,"Oyo, Nigeria",village iresaadu thrown pandemonium early hour today realized year,1,66,9,66,7.333333333333333,0,0,0,0
injury,"Sydney, New South Wales",horrible news mose masoe anybody know extent injury hoping speedy recovery big man,1,82,13,82,6.3076923076923075,0,0,0,0
wildfire,"Fort Hood, TX",australia koala population taken extraordinary hit wildfire could classifie,1,75,9,75,8.333333333333334,0,0,0,0
derailed,Hitchin + London,bit weird really platform packed train since freight train derailed depot sounded,1,81,12,81,6.75,0,0,0,0
displaced,#Yemen_Taiz,libya since onset armed conflict april south tripoli least family approximately,1,79,11,79,7.181818181818182,0,0,0,0
deluge,Torreón 🇲🇽,venice worst flood happened time expert thought flood oncein year event november flood,1,86,13,86,6.615384615384615,0,0,0,0
threat,香港,friend across pond huawei threat national security trying spy,1,61,9,61,6.777777777777778,0,0,0,0
hazardous,"Melbourne, Australia",tennis organiser forced delay start qualifying tournament suspend practic,1,73,9,73,8.11111111111111,0,0,0,0
destroyed,Island of the Gods & all too much plastic,bee industry estimate hive destroyed bushfires across australia combined effec,1,78,10,78,7.8,0,0,0,0
emergency%20services,Surr3y BC,getting alert government emergency service app saying air hazardous,1,67,9,67,7.444444444444445,0,0,0,0
hostage,"Sedona, AZ",ctmagazine nigerian pastor kidnapped boko haram last week hostage video lawan andimi,1,84,12,84,7.0,0,0,0,0
thunderstorm,"Atlanta, GA",weather alert severe thunderstorm warning including goldsboro mount olive elroy est,1,83,11,83,7.545454545454546,0,0,0,0
terrorist,Follow for Follow,terrorist fire upon american hero iphones lawfully seized federal court authorizes search data,1,94,13,94,7.230769230769231,0,0,0,0
rescued,"Bengaluru, India",bhimsen mother womb rescued mother rescued mother within day gave birth,1,71,11,71,6.454545454545454,0,0,0,0
wildfire,"Sydney, Australia",strato meet australian animal hardest hit wildfire disaster startup,1,67,9,67,7.444444444444445,0,0,0,0
rescued,"Splendora, TX",rescued pit bull save owner life attempted robbery,1,50,8,50,6.25,0,0,0,0
thunderstorm,Wherevaaa,thunderstorm woke sleep thought whole planet literally cracked half,1,67,9,67,7.444444444444445,0,0,0,0
suicide%20bomb,"Rawalpindi, Pakistan",last week main bomb amp suicide attack howay street crime main,1,62,11,62,5.636363636363637,0,0,0,0
rescued,"Eau Claire, WI",two young men charged allegedly stealing car infant still inside child parent wer,1,81,13,81,6.230769230769231,0,0,0,0
snowstorm,SLC,notably ambulance showed buttigieg event protestors called one driving heavy,1,76,10,76,7.6,0,0,0,0
outbreak,Ampang,following haiti earthquake provided shelter safe drinking water healthcare food protection million peo,1,102,13,102,7.846153846153846,0,0,0,0
blight,Egypt - UAE,tunisian fisherman driven perilous depth mystery sea sponge blight,1,66,9,66,7.333333333333333,0,0,0,0
outbreak,Unknown,mystery china pneumonia outbreak likely caused new human coronavirus via,1,72,10,72,7.2,0,0,0,0
rubble,Pakistan,troop clear rubble iraq base day irgc attack photo,1,50,9,50,5.555555555555555,0,0,0,0
rubble,menetap dihati dan pikiranmu,rescued kid pulled rubble would say someone ask,1,47,8,47,5.875,0,0,0,0
quarantined,"
Asia Pacific",woman quarantined thailand first instance infection going international thai authority,1,86,10,86,8.6,0,0,0,0
derailment,Unknown,morning sat letchworth stopped red signal update train derai,1,60,9,60,6.666666666666667,0,0,0,0
